G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
17.102,16.36,14.453,12.146,9.7013,7.4308,5.1411,3.6879,2.4365,1.7786,5.5237,5.429,5.136,4.5863,4.2018,3.2962,2.3934,1.5141,1.0404,0.80687,6.6469,6.5426,6.2558,5.6146,5.0459,4.3947,3.3125,2.5946,1.7943,1.5641,6.1042,6.0912,5.9282,5.7152,5.251,4.5611,4.1091,3.1398,2.7741,2.3476,4.3737,4.351,4.2221,3.9115,3.6212,3.0799,2.4267,1.912,0.99237,0.82184,7.0959,7.0783,6.9643,6.8143,6.2145,5.407,4.7233,3.8892,2.8259,1.7529,3.0999,3.0381,2.7988,2.456,2.1834,2.0002,1.8874,1.8874,1.8874,1.39,10.127,9.9937,9.5616,8.8838,8.0958,7.2442,5.4463,4.0954,3.0538,2.2707
19.264,18.645,16.929,14.525,11.755,9.0843,6.7761,5.0815,3.6805,2.6983,9.9909,9.8958,9.6348,8.8598,7.8321,6.5427,5.3005,4.4048,3.0566,2.1307,7.3277,7.2058,6.8938,6.3023,5.6954,4.875,3.7441,2.7981,2.134,1.5928,4.1599,4.1486,4.0617,3.9258,3.6157,3.3841,3.1192,2.9079,1.9128,1.6309,1.9005,1.8943,1.5199,1.3348,0.84656,0.76184,0.44355,0.19387,0.19387,0.19387,11.771,11.755,11.671,11.562,11.262,11.009,10.525,10.248,9.9209,9.1749,3.827,3.7953,3.6604,3.4618,3.257,3.1671,3.1671,2.7812,2.1708,1.6477,12.634,12.606,12.352,11.57,10.26,8.8522,6.9074,4.9953,3.1999,1.8254
23.147,22.624,20.88,18.353,15.512,12.505,9.7766,7.2437,5.2121,3.9253,8.2354,8.166,7.8228,7.1504,6.0453,4.7248,3.4835,2.5248,1.768,1.2323,4.5749,4.4815,4.1006,3.691,3.0843,2.7255,2.4246,2.0639,1.7835,1.6292,4.8359,4.7538,4.7337,4.5563,4.1589,3.4687,2.9293,2.8128,1.6984,1.5626,4.0155,3.9761,3.8991,3.7689,3.4822,2.9339,2.2889,1.7751,1.4752,0.97449,12.808,12.808,12.808,12.733,12.595,12.281,11.503,10.579,9.5007,9.1231,3.3103,3.2365,3.2365,2.9457,2.6095,2.2557,1.92,1.7912,1.6378,0.96003,15.037,15.01,14.731,14.374,13.714,12.462,11.036,8.7686,6.6365,5.1497
16.268,15.547,13.494,11.049,8.4093,6.3726,4.7908,3.7044,2.8153,2.2277,5.2876,5.1855,4.8697,4.1859,3.5445,2.8227,2.0425,1.5654,1.1583,0.77482,7.3404,7.2982,7.0246,6.5628,5.9517,5.1489,3.9251,2.9747,2.4387,2.0519,7.591,7.591,7.591,7.1344,6.9598,6.3635,5.7199,5.5031,4.3816,3.6569,4.9868,4.9669,4.9404,4.8826,4.6054,3.6738,2.6917,1.5711,0.55137,0.20764,11.803,11.798,11.758,11.721,11.527,11.134,10.815,10.082,9.7649,8.286,2.532,2.4609,2.4004,2.2541,1.7745,1.4235,1.0716,0.93506,0.63876,0.63876,8.5636,8.3938,7.8195,7.0052,5.7209,4.2719,3.0873,2.0419,1.23,0.83836
18.878,18.318,16.649,14.322,11.775,9.2232,6.848,4.8296,3.4888,2.422,6.877,6.7755,6.3538,5.8226,5.1197,4.1345,3.299,2.7737,2.033,1.3338,8.1237,8.0283,7.6007,7.0149,6.1696,5.5781,4.9205,4.3261,3.1586,2.5412,5.2534,5.2244,5.0801,4.9283,4.8094,4.4205,4.1462,3.926,3.5295,2.955,3.6882,3.6842,3.4304,3.0154,2.8017,2.352,2.0349,1.5312,1.3809,0.69228,5.6443,5.5946,5.4797,5.2034,4.6884,4.0264,3.718,2.8005,2.2633,1.902,2.7672,2.7147,2.6827,2.567,2.3014,1.757,1.3131,0.7961,0.7961,0.62819,11.25,11.21,10.937,10.177,9.2579,7.6962,6.0941,4.7069,3.5686,2.5943
21.856,21.19,19.361,16.866,13.914,10.888,8.2284,6.2511,4.4191,2.9328,5.2107,5.1295,4.8106,4.4012,4.0595,3.4085,2.7128,2.1821,1.5011,1.3423,9.4047,9.278,9.0196,8.5744,8.1689,7.5062,6.1718,5.0409,3.9401,2.3219,3.3227,3.2273,3.1073,2.9886,2.5728,2.4227,1.7933,1.1576,0.78697,0.49074,3.3865,3.3669,3.1555,2.9512,2.1899,1.9079,1.5846,1.0707,0.78234,0.44351,11.923,11.923,11.923,11.842,11.63,11.258,10.721,9.7979,8.3971,7.2033,2.4398,2.3928,2.2017,1.9978,1.7235,1.3771,1.2725,0.87381,0.87381,0.87381,11.147,11.102,10.657,9.9098,9.0244,7.2344,5.968,4.9787,3.4299,2.1228
17.493,16.783,14.831,12.284,9.751,7.4837,5.6871,4.218,3.1862,2.4296,5.9006,5.735,5.3803,4.8669,4.2297,3.661,2.8604,2.0972,1.4241,0.9693,5.4091,5.3158,5.1231,4.5584,4.0552,3.7338,3.0328,2.2735,1.9333,1.0833,5.4356,5.4303,5.3331,5.0398,4.5271,4.0678,3.7942,3.6898,2.9316,2.369,2.2221,2.1674,1.9951,1.8125,1.597,1.4338,0.90655,0.52569,0.52569,0.19178,14.031,14.031,14.031,13.99,13.784,13.119,12.806,12.524,12.191,11.843,1.8495,1.798,1.5445,1.2707,1.0551,0.96954,0.8523,0.72138,0.27011,0.27011,6.7382,6.594,6.0975,5.1743,4.2381,3.4153,2.5295,1.6404,0.99474,0.40619
14.16,13.35,11.307,8.7971,6.2623,4.0998,2.8648,1.9952,1.1765,0.73849,5.3307,5.1658,4.8139,4.2808,3.5019,2.6482,1.7545,1.4096,0.80349,0.42482,6.1868,6.0691,5.6353,5.0457,4.4442,3.363,2.5695,1.8583,1.3793,0.994,2.9918,2.9217,2.72,2.6323,2.2521,2.0337,1.4697,1.0446,0.80393,0.51501,3.9638,3.8879,3.7323,3.5861,3.5861,3.3237,2.8682,2.6134,2.1768,1.8341,7.4673,7.4455,7.3722,7.1501,6.916,6.2113,5.4309,3.758,2.279,1.2964,1.46,1.3195,1.1606,1.1159,0.91496,0.73389,0.73389,0.73389,0.58766,0.42399,5.1619,5.0564,4.5628,3.8992,2.6724,1.8142,1.0037,0.70418,0.1964,0
20.311,19.67,18.022,15.35,12.103,9.1032,6.6684,4.7631,2.9953,1.905,6.331,6.2175,5.9201,5.4674,4.7109,4.0286,3.2279,2.6464,2.238,1.7904,5.4465,5.3373,4.9858,4.1883,2.9504,2.499,1.9525,1.4834,1.0761,0.68587,5.6307,5.6082,5.5314,5.5314,4.9288,4.6303,4.2805,3.5305,2.6666,1.8159,4.8012,4.7898,4.6568,4.5186,4.2926,3.674,3.223,2.7001,2.094,1.5864,7.8447,7.7969,7.6938,7.4243,7.2287,6.5917,5.2371,4.2019,3.1491,2.0659,2.4029,2.3404,2.2407,1.8818,1.6058,1.4247,1.4247,1.3012,0.85332,0.51119,12.257,12.189,12.035,11.307,9.944,8.4225,6.7823,5.394,3.442,2.5469
19.334,18.659,16.827,14.114,11.198,8.487,5.9937,4.0975,2.838,2.0246,7.2811,7.2172,6.8527,6.1712,5.3997,4.3186,3.1528,2.7341,2.2591,1.4997,7.4922,7.414,7.2306,6.8593,6.3346,5.5497,4.2523,2.9492,2.1217,1.7505,4.3557,4.3556,4.2603,4.1735,3.9983,3.5328,3.2599,2.9441,2.9441,2.6739,2.9061,2.8628,2.7217,2.2875,1.7271,1.1854,0.96247,0.45508,0,0,10.576,10.576,10.501,10.419,10.215,9.8359,9.3793,8.0659,6.7732,5.0543,1.8915,1.8189,1.7655,1.671,1.3954,0.86347,0.52767,0.40305,0.24332,0.24332,6.1897,6.0429,5.5793,4.7732,3.7455,2.8098,1.659,1.0574,0.77232,0.44642
23.668,23.095,21.379,18.837,15.885,12.91,10.023,7.4948,5.8985,4.3501,9.6889,9.6594,9.5114,9.1313,8.4822,7.4,5.7506,4.8536,3.8978,2.8922,9.7102,9.6391,9.3462,8.8815,8.4326,7.4865,6.4883,5.4331,4.6155,3.705,5.6666,5.6577,5.5578,5.4296,4.9171,4.6138,4.2598,3.4073,3.1529,2.45,4.2273,4.2097,4.1453,3.779,3.231,2.8965,2.1266,1.8512,1.694,1.3656,12.849,12.84,12.82,12.756,12.756,12.692,12.383,12.01,11.683,10.706,2.1129,2.0711,1.79,1.6146,1.2896,0.6969,0.6969,0.6969,0.6969,0.6969,9.9787,9.8652,9.3606,8.7579,7.5735,6.2682,4.6455,3.3885,2.2499,1.6582
25.898,25.36,23.823,21.859,19.57,17.235,14.8,12.508,10.507,8.7602,10.901,10.874,10.729,10.435,10.054,9.3667,8.6747,7.9711,7.4312,6.827,8.4468,8.3331,8.1498,7.8379,7.1635,6.5804,6.036,4.7867,4.1823,3.408,4.1421,4.0733,3.986,3.6772,3.3834,2.985,2.4318,1.7807,1.4239,1.1467,3.9495,3.9005,3.7612,3.5153,3.3725,2.822,2.4893,2.0993,2.0993,1.7587,9.4599,9.4567,9.4302,9.2483,9.1021,8.5178,7.5746,6.8413,5.8833,4.5368,2.2045,2.1868,2.0399,1.7002,1.5119,1.4189,1.4189,1.2966,1.15,1.15,6.3888,6.2442,5.8649,5.3778,4.8432,4.1875,3.2098,2.7026,2.2995,1.6389
23.154,22.54,20.884,18.33,15.103,11.884,9.0825,6.6851,4.7259,3.361,7.8518,7.7303,7.4022,6.6149,5.958,5.4919,4.9866,4.1513,3.2564,2.5594,6.1059,6.0602,5.845,5.412,4.6779,3.8933,3.1963,2.8443,2.3061,1.9259,4.0827,4.0353,3.9158,3.6724,3.4275,3.3446,2.4016,1.6255,1.2631,0.72267,4.0096,3.9918,3.7979,3.6936,3.4004,2.7569,2.0967,1.6962,0.94334,0.60327,14.448,14.448,14.448,14.448,14.448,14.448,13.984,12.837,11.964,10.878,3.7288,3.6943,3.6208,3.4736,3.4736,3.2832,2.9474,2.8107,2.3486,1.8401,6.5596,6.3823,5.9385,5.2311,4.3929,3.4316,2.6075,1.9013,1.2048,0.88173
19.137,18.454,16.666,14.116,11.593,9.3907,7.4203,5.643,4.5519,3.6743,11.479,11.374,10.937,10.349,9.591,8.7461,8.1533,7.394,6.7917,5.8597,4.3719,4.2798,3.9352,3.2929,2.8173,2.4879,2.0952,1.5522,1.0734,0.6844,3.2489,3.2181,3.0927,2.8061,2.6337,2.4728,1.9297,0.53897,0.41282,0,3.9748,3.9127,3.8074,3.5738,3.4973,3.1311,2.5928,1.799,1.6548,0.64019,8.9619,8.9434,8.9058,8.7506,8.549,8.4117,7.6056,6.5784,6.2636,4.9455,2.5055,2.4599,2.288,2.0498,1.5457,1.3652,1.0254,0.89072,0.74756,0.58093,7.0503,6.8285,6.4613,5.6459,5.0454,4.1685,3.3604,2.8187,2.3039,2.0401
