G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.25072,0.33013,0.40379,0.48048,0.53666,0.58367,0.53451,0.46505,0.40724,0.27228,0.36579,0.4129,0.48212,0.54804,0.54225,0.57809,0.30591,0.1315,0,0,0.37437,0.43316,0.47602,0.52455,0.55096,0.54928,0.46964,0.39566,0.3143,0.12382,0.52617,0.54405,0.60547,0.64047,0.69208,0.70308,0.71215,0.56353,0.44373,0.41765,0.45093,0.49502,0.5372,0.60808,0.64404,0.61804,0.64996,0.36544,0.24601,0.24601,0.54086,0.56743,0.59864,0.62636,0.67632,0.7079,0.71258,0.64844,0.55967,0.12461,0.32189,0.41818,0.53814,0.52597,0.4689,0.38871,0.38871,0.38871,0.38871,0.24687,0.41796,0.47231,0.52618,0.55083,0.59417,0.58201,0.47077,0.47022,0.46311,0.44104
0.28336,0.35723,0.42828,0.49604,0.57302,0.60545,0.63488,0.56878,0.4734,0.3795,0.45117,0.48596,0.527,0.58554,0.64856,0.68836,0.69991,0.59451,0.33412,0.29388,0.38102,0.44546,0.45847,0.5095,0.55161,0.54642,0.49739,0.34852,0.34113,0.35854,0.46568,0.48903,0.53891,0.56929,0.53057,0.55728,0.57752,0.42514,0.5025,0.4799,0.25556,0.26615,0.25455,0.18903,0,0,0,0,0,0,0.8537,0.87487,0.91062,0.93352,0.98038,1.0056,0.96758,0.94232,0.96984,0.98581,0.49398,0.51938,0.50688,0.58966,0.49473,0.52314,0.52314,0.55091,0.53924,0.23947,0.49426,0.5041,0.52915,0.56928,0.61782,0.65339,0.72391,0.61568,0.37595,0.22551
0.33654,0.3975,0.46568,0.53125,0.59322,0.63336,0.64516,0.58102,0.51396,0.36851,0.40795,0.43965,0.48139,0.53242,0.58753,0.60159,0.4426,0.36063,0.32998,0.11831,0.33146,0.38174,0.42705,0.51236,0.46586,0.43807,0.48556,0.25195,0.28263,0.18059,0.45802,0.56444,0.57541,0.60188,0.58967,0.53649,0.38085,0.38056,0.33265,0.26762,0.46401,0.50848,0.55377,0.59806,0.63179,0.66185,0.42694,0.21479,0.21231,0,0.93792,0.93792,0.93792,0.95213,0.97378,1.0073,1.0661,1.1243,0.95108,0.97384,0.36793,0.47427,0.47427,0.47362,0.55019,0.47039,0.5734,0.34083,0.20846,0,0.58983,0.60996,0.63467,0.66466,0.69938,0.71391,0.73782,0.74264,0.78203,0.63952
0.23989,0.31444,0.38906,0.46537,0.53558,0.5706,0.53617,0.45383,0.32503,0.26412,0.31453,0.37671,0.42767,0.46833,0.54645,0.51871,0.46306,0.29396,0.10468,0,0.45373,0.48648,0.53102,0.57257,0.61255,0.58275,0.54878,0.41285,0.32403,0.26234,0.66115,0.66115,0.66115,0.74047,0.76083,0.81558,0.711,0.70045,0.72141,0.73263,0.53878,0.54927,0.55963,0.56537,0.58557,0.62228,0.53348,0.2282,0,0,0.87349,0.88382,0.90179,0.90919,0.93657,0.97017,0.98781,0.96057,0.96881,0.96571,0.34344,0.43072,0.45897,0.42025,0.26281,0.25899,0.1826,0,0,0,0.34132,0.38178,0.43159,0.47925,0.5264,0.49784,0.4454,0.35336,0.2019,0.098267
0.28683,0.3586,0.42661,0.49819,0.55541,0.5805,0.61847,0.52818,0.49239,0.39429,0.36151,0.41643,0.45882,0.51516,0.55543,0.47235,0.43533,0.39303,0.34341,0.27621,0.40026,0.45149,0.52866,0.58075,0.59268,0.55547,0.61796,0.57158,0.4664,0.27177,0.55389,0.58552,0.60401,0.63336,0.66997,0.58911,0.6468,0.66475,0.58076,0.60431,0.39908,0.40938,0.48386,0.498,0.5342,0.38677,0.32325,0.10472,0.17453,0,0.46962,0.52807,0.56948,0.61096,0.67083,0.66113,0.65918,0.49863,0.5034,0.4191,0.42334,0.49145,0.45684,0.48966,0.35952,0.35723,0.17339,0,0,0,0.46409,0.49632,0.52945,0.58614,0.62996,0.64923,0.69363,0.64671,0.56376,0.46681
0.29012,0.3665,0.43645,0.50398,0.55857,0.56993,0.59394,0.55262,0.43711,0.36677,0.35355,0.41478,0.47841,0.52709,0.52097,0.48407,0.52341,0.42086,0.20641,0.20641,0.45549,0.53358,0.57722,0.57919,0.59389,0.62,0.67033,0.63038,0.43453,0.2726,0.34659,0.4338,0.46046,0.50245,0.54611,0.52646,0.22377,0,0,0,0.37309,0.39388,0.46304,0.4976,0.43047,0.42437,0.33056,0.19826,0,0,0.87672,0.87672,0.87672,0.88955,0.91436,0.94855,0.98474,0.92284,0.95685,0.93179,0.34442,0.38287,0.42268,0.42274,0.3594,0.20531,0.2211,0,0,0,0.44777,0.47246,0.52466,0.58346,0.63154,0.63444,0.60882,0.63584,0.44131,0.26953
0.2518,0.33234,0.4139,0.49436,0.55556,0.5942,0.55814,0.45866,0.37283,0.27316,0.32248,0.40733,0.44087,0.5018,0.53117,0.5462,0.45743,0.38811,0.099751,0.0715,0.37478,0.45517,0.49429,0.53819,0.61662,0.52367,0.52629,0.40867,0.38405,0.20367,0.52463,0.54877,0.54338,0.61168,0.63669,0.64911,0.60318,0.62581,0.54778,0.48806,0.27088,0.37828,0.46029,0.44525,0.44574,0.40108,0.2357,0,0,0,1.0395,1.0395,1.0395,1.0472,1.0764,1.1539,1.1842,1.1418,1.081,1.0963,0.26019,0.30005,0.31989,0.25212,0.198,0.198,0,0,0,0,0.31162,0.36598,0.42339,0.47486,0.53105,0.518,0.46886,0.31015,0.17181,0.12271
0.21235,0.28833,0.35546,0.41936,0.46147,0.43505,0.4232,0.29354,0.16824,0.092237,0.29783,0.37734,0.4234,0.47068,0.5131,0.4053,0.27053,0.22386,0.088725,0,0.33277,0.39051,0.44935,0.50376,0.57605,0.4436,0.38909,0.38093,0.1932,0.16357,0.32074,0.37413,0.47819,0.39042,0.34387,0.37613,0.36728,0.17683,0.19044,0,0.44255,0.52961,0.54874,0.54694,0.54694,0.59081,0.64525,0.55557,0.48853,0.55967,0.58214,0.59667,0.6136,0.64342,0.66933,0.70979,0.65051,0.56011,0.42096,0.13767,0.17321,0.25804,0.20636,0.23075,0.19692,0.25319,0.25319,0.25319,0,0,0.26668,0.32245,0.36674,0.40138,0.45699,0.34818,0.18964,0,0,0
0.28517,0.35796,0.41671,0.48358,0.54332,0.58245,0.57515,0.52889,0.4014,0.27013,0.37218,0.44252,0.5102,0.56428,0.59269,0.60893,0.67294,0.49309,0.42727,0.14565,0.28991,0.34966,0.395,0.44079,0.35099,0.33428,0.33959,0.30425,0.20749,0.14588,0.54556,0.56268,0.5784,0.5784,0.62156,0.65049,0.6724,0.49631,0.54932,0.2702,0.54097,0.55731,0.60178,0.64479,0.66616,0.58776,0.62908,0.44922,0.42107,0.39997,0.57184,0.60389,0.63453,0.67082,0.68988,0.72868,0.70172,0.66773,0.49609,0.48443,0.35742,0.40046,0.40192,0.37089,0.30315,0.30315,0.30315,0.30817,0,0,0.48394,0.51318,0.5301,0.57277,0.63461,0.6903,0.61957,0.65923,0.46843,0.37495
0.27341,0.34343,0.40756,0.47652,0.51839,0.51293,0.48871,0.42039,0.37186,0.30267,0.38894,0.42282,0.45341,0.51393,0.5526,0.50552,0.44157,0.40358,0.33298,0.29168,0.4467,0.50542,0.55467,0.62999,0.64649,0.63677,0.65468,0.57769,0.33677,0.16272,0.56132,0.5958,0.64868,0.63571,0.55049,0.60383,0.53434,0.53438,0.53438,0.54653,0.32549,0.36218,0.3983,0.45759,0.21629,0.16919,0,0,0,0,0.78396,0.78396,0.80337,0.81555,0.83597,0.86988,0.90046,0.87421,0.91323,0.95567,0.2363,0.234,0.26383,0.28931,0.32628,0,0,0,0,0,0.30274,0.34807,0.40085,0.44085,0.42518,0.36435,0.20221,0.12589,0.15112,0
